date;Type_Jour;Total
2024-03-01;JOHV;242580
2024-01-24;JOHV;318370
2024-01-27;SA;169292
2024-02-26;JOHV;293838
2024-04-06;SA;189357
2024-04-13;SA;174675
2024-05-18;SA;176134
2024-05-29;JOHV;332909
2024-07-07;DIJFP;132580
2024-07-08;JOVS;313424
2024-07-15;JOVS;280790
2024-07-22;JOVS;259696
2024-07-31;JOVS;248394
2024-08-11;DIJFP;134288
2024-08-22;JOVS;204762
2024-09-06;JOHV;293321
2024-09-23;JOHV;331032
2024-09-29;DIJFP;134431
2024-11-01;DIJFP;162684
2024-12-17;JOHV;393954
2024-12-25;DIJFP;74695
2019-07-19;JOVS;353355
2019-08-18;DIJFP;83749
2019-09-19;JOHV;364253
2019-09-20;JOHV;349207
2019-11-09;SA;179833
2019-12-04;JOHV;394384
2019-12-06;JOHV;226973
2019-12-18;JOHV;345048
2020-02-01;SA;201545
2020-02-28;JOHV;365797
2020-03-29;DIJFP;4330
2020-04-03;JOHV;11872
2020-04-11;SA;9357
2020-04-29;JOHV;15662
2020-05-31;DIJFP;25639
2020-06-14;DIJFP;50820
2020-07-12;DIJFP;64931
